trust,region,year,month,month_name,period,attendances,admissions,breaches,perf_4hr_pct,breach_rate_pct,admission_rate_pct,median_wait_mins,ambulance_handover_delay_pct,prev_month_perf,prev_month_breach,rolling_3m_att,att_growth_pct,is_winter,is_covid_period
Barts Health NHS Trust,London,2018,2,Feb,2018-02,19630,5537,3148,84.0,16.0,28.2,100.0,2.7,81.9,18.1,20836.0,-10.94,1,0
Barts Health NHS Trust,London,2018,3,Mar,2018-03,20155,5136,2755,86.3,13.7,25.5,81.0,2.9,84.0,16.0,20609.0,2.67,0,0
Barts Health NHS Trust,London,2018,4,Apr,2018-04,17663,4773,2102,88.1,11.9,27.0,85.0,4.8,86.3,13.7,19149.0,-12.36,0,0
Barts Health NHS Trust,London,2018,5,May,2018-05,17068,4534,1934,88.7,11.3,26.6,91.0,5.7,88.1,11.9,18295.0,-3.37,0,0
Barts Health NHS Trust,London,2018,6,Jun,2018-06,17694,4980,1936,89.1,10.9,28.1,77.0,4.5,88.7,11.3,17475.0,3.67,0,0
Barts Health NHS Trust,London,2018,7,Jul,2018-07,18912,5795,2693,85.8,14.2,30.6,109.0,6.8,89.1,10.9,17891.0,6.88,0,0
Barts Health NHS Trust,London,2018,8,Aug,2018-08,19667,5662,2972,84.9,15.1,28.8,90.0,3.0,85.8,14.2,18758.0,3.99,0,0
Barts Health NHS Trust,London,2018,9,Sep,2018-09,17938,5446,2397,86.6,13.4,30.4,84.0,5.7,84.9,15.1,18839.0,-8.79,0,0
Barts Health NHS Trust,London,2018,10,Oct,2018-10,18221,5070,2445,86.6,13.4,27.8,81.0,7.5,86.6,13.4,18609.0,1.58,0,0
Barts Health NHS Trust,London,2018,11,Nov,2018-11,20419,6179,2908,85.8,14.2,30.3,96.0,7.5,86.6,13.4,18859.0,12.06,1,0
Barts Health NHS Trust,London,2018,12,Dec,2018-12,20037,4872,3851,80.8,19.2,24.3,86.0,6.1,85.8,14.2,19559.0,-1.87,1,0
Barts Health NHS Trust,London,2019,1,Jan,2019-01,21261,5633,4186,80.3,19.7,26.5,85.0,7.1,80.8,19.2,20572.0,6.11,1,0
Barts Health NHS Trust,London,2019,2,Feb,2019-02,20121,4934,3681,81.7,18.3,24.5,110.0,8.0,80.3,19.7,20473.0,-5.36,1,0
Barts Health NHS Trust,London,2019,3,Mar,2019-03,19298,5733,3663,81.0,19.0,29.7,100.0,8.0,81.7,18.3,20227.0,-4.09,0,0
Barts Health NHS Trust,London,2019,4,Apr,2019-04,18664,4947,2931,84.3,15.7,26.5,79.0,7.7,81.0,19.0,19361.0,-3.29,0,0
Barts Health NHS Trust,London,2019,5,May,2019-05,18067,4416,2381,86.8,13.2,24.4,86.0,3.6,84.3,15.7,18676.0,-3.2,0,0
Barts Health NHS Trust,London,2019,6,Jun,2019-06,18795,5678,2340,87.5,12.5,30.2,92.0,2.1,86.8,13.2,18509.0,4.03,0,0
Barts Health NHS Trust,London,2019,7,Jul,2019-07,20111,5616,2707,86.5,13.5,27.9,102.0,4.7,87.5,12.5,18991.0,7.0,0,0
Barts Health NHS Trust,London,2019,8,Aug,2019-08,20376,4926,3218,84.2,15.8,24.2,79.0,2.7,86.5,13.5,19761.0,1.32,0,0
Barts Health NHS Trust,London,2019,9,Sep,2019-09,18467,5089,2630,85.8,14.2,27.6,107.0,3.5,84.2,15.8,19651.0,-9.37,0,0
